ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,DELETED
4507,Food-Spice,Cumin Powder,Lead,0.33,ppm,UNKNOWN OR NOT STATED,BANGLADESH,08/02/2019 12:00:00 AM,No
3635,Toys/Children's Products,Marker,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,02/13/2019 12:00:00 AM,No
2700,Dietary Supplement/Medications/Remedy,Neo Carmina Herb-Mint Tablets (Unani Medicine),Arsenic,-1,ppm,Hamdard Laboratories (Waqf) Pakistan,PAKISTAN,09/28/2017 12:00:00 AM,No
2818,Dietary Supplement/Medications/Remedy,Siddha Jal,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNITED STATES MINOR OUTLYING ISLANDS,02/13/2018 12:00:00 AM,No
757,Dietary Supplement/Medications/Remedy,Homeopathic remedy for stomach disorder,Mercury,-1,ppm,Kapsons Homoeo Clinics & Pharmacies,INDIA,03/29/2013 12:00:00 AM,No
2197,Dietary Supplement/Medications/Remedy,Tierra Santa Holy Ground,Arsenic,2.5,ppm,UNKNOWN OR NOT STATED,MEXICO,02/08/2017 12:00:00 AM,No
4182,Food-Spice,Turmeric powder,Lead,0.25,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,06/03/2019 12:00:00 AM,No
3094,Dietary Supplement/Medications/Remedy,Vitamin B Complex,Arsenic,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,08/27/2018 12:00:00 AM,No
2765,Toys/Children's Products,Hot Wheels Toy Car,Lead,-1,ppm,Mattel,MALAYSIA,12/11/2017 12:00:00 AM,No
4674,Food-Spice,Turmeric Powder,Lead,-1,ppm,UNKNOWN OR NOT STATED,INDIA,09/19/2019 12:00:00 AM,No
1078,Cosmetics,Venus de Milo cream beauty soap,Mercury,-1,ppm,UNKNOWN OR NOT STATED,JORDAN,04/01/2014 12:00:00 AM,No
2101,Dietary Supplement/Medications/Remedy,Cherry Honey Cough Drops,Lead,-1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,12/21/2016 12:00:00 AM,No
2613,Cosmetics,Sindoor,Lead,25,ppm,UNKNOWN OR NOT STATED,NEPAL,08/23/2017 12:00:00 AM,No
200,Cosmetics,Kohl,Lead,300000,ppm,UNKNOWN OR NOT STATED,INDIA,06/01/2011 12:00:00 AM,No
